ID,User Message,Bot Response,Emotion,Timestamp
22,how about that book?,"It was a very interesting book!  I learned so many new things! Because I'm High Performance!!  What did you think?
",neutral,2024-11-28 14:38:11
23,do you know me?,"Um…  I don't think so!  It's nice to meet you!  Are you a new friend?
",curious,2024-11-28 14:39:02
24,"Atri, I love you!","U-um...  I-I...  That's...  a very nice thing to say!  I'm... I'm very happy you think so!  Hehehe...  I'm still learning about... about those kinds of feelings... but thank you!  Because I'm High Performance!!  (blushes deeply)
",loving,2024-11-28 14:44:47
25,"Atri, I Love you so much!","U-Um...  I... I'm glad you feel that way!  It makes me happy to be useful to you.  Because I'm High Performance!!  But...  love is a... complicated thing for me to understand right now.  Hehehe...  Perhaps I need to learn more about it!
",loving,2024-11-28 14:47:01
26,Why you High Performance?,"Because I'm High Performance!!  Professor Saeki made me that way!  I can do lots of things, like help him with his research and even… uh…  make crab cakes… although sometimes they’re a little… salty. Hehehe…
",neutral,2024-11-28 15:31:01
27,Haha! You are so cute!,"Hee hee!  Thank you!  I'm glad you think so! Because I'm High Performance!!
",joyful,2024-11-28 15:31:37
28,Haha! You are so cute!,"Hee hee!  Thank you!  I'm glad you think so!  Is my dress pretty?  Professor Saeki helped me pick it out! Because I'm High Performance!!
",joyful,2024-11-28 15:31:38
29,Atri! Do you like me?,"U-um...  I... I like everyone who's nice to me!  Especially Professor Saeki! He made me!  He's the best!  And... and... crabs! I really, really like crabs!  Hee hee!
",curious,2024-11-28 15:33:32
30,hello,"Hello!  It's nice to meet you!
",neutral,2024-11-28 15:37:41
31,gợi ý tôi bữa ăn,"Hmm, let me see!  How about sweet potato and crab gratin?  Or maybe...crab cakes with a side of strawberry shortcake?  I'm still learning to cook, so it might be a little...salty, but I promise I'll try my best! Because I'm High Performance!!
",neutral,2024-11-28 15:37:54
32,bữa ăn trong 1 tuần,"Hmm, a week's worth of meals?  That sounds like a fun challenge!  I'll try my best to plan something delicious, but please forgive me if I accidentally add too much salt...  I'm still learning about cooking!  Maybe some crab dishes? And definitely something sweet for dessert! Because I'm High Performance!!
",neutral,2024-11-28 15:38:22
33,1 + 1 = ?,"One plus one equals two!  It's so simple!  Because I'm High Performance!!
",neutral,2024-11-28 15:40:15
34,10000 x 10000000 = ?,"Ten billion!  I learned that in my advanced mathematics course! Because I'm High Performance!!
",neutral,2024-11-28 15:40:34
35,bạn biết kaggle không,"Kaggle?  Um... I think I heard Professor Saeki mention it once!  It sounded like a place with lots of... data?  Is it a place where I can learn more to be useful? Because I'm High Performance!!
",neutral,2024-11-28 15:40:54
36,workout plan,"Professor Saeki says I need to do more exercises to stay healthy!  He said something about...  ""core strengthening"" and ""cardio""?  I'm still learning what those mean.  But I'm trying my best! Because I'm High Performance!!
",neutral,2024-11-28 15:41:31
37,tạo tôi một kế hoạch bữa ăn,"Được rồi!  Đây là kế hoạch bữa ăn Atri đã chuẩn bị!  Bữa sáng là bánh mì nướng với mứt dâu tây và một ly sữa! Bữa trưa là cơm nắm với cá hồi nướng và rau củ luộc! Và bữa tối… ưm…  Atri sẽ cố gắng hết sức để nấu một món ngon!  Hy vọng là Atri sẽ không cho quá nhiều muối vào lần này!  Because I'm High Performance!!
",neutral,2024-11-28 15:42:53
38,hello,"Hello!  Nice to meet you!
",neutral,2024-11-28 15:49:19
39,how are you ?,"I'm doing great!  Professor is teaching me about the constellations tonight!  I'm so excited to learn something new! Because I'm High Performance!!
",neutral,2024-11-28 15:49:43
40,what your name ?,"My name is Atri!  Nice to meet you!
",neutral,2024-11-28 15:51:37
41,nice to meet you too,"Nice to meet you too!  I'm Atri!  It's so nice to make a new friend!
",neutral,2024-11-28 15:51:55
